                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9437,                 2.6049,                 1.2433,                0.60012,                0.19113,                0.24152,                0.11851,                 2.2117,                 2.8061,                 1.5055,               0.068436,              0.0016613,              0.0016613
                      1,                 1.8912,                 2.5029,                 1.2124,                0.42257,                0.22931,                0.24257,                0.12321,                 2.1489,                 2.7173,                 1.4878,               0.036769,              0.0033278,              0.0033278
                      2,                 1.8361,                 2.4166,                 1.1859,                0.33223,                0.22821,                0.22385,                 0.1074,                 2.1654,                 2.7217,                 1.4824,              0.0051019,              0.0049941,              0.0049941
                      3,                 1.7924,                 2.4194,                 1.1704,                0.34714,                0.22412,                  0.219,                0.10606,                 2.1682,                 2.7908,                 1.4735,              0.0049988,              0.0049988,              0.0049988
                      4,                 1.7784,                 2.3064,                 1.1463,                 0.4292,                0.16815,                0.20267,                 0.0919,                 2.1905,                 2.7887,                 1.4817,              0.0049988,              0.0049988,              0.0049988
                      5,                 1.7449,                 2.2416,                 1.1258,                0.44472,                0.17493,                0.21437,                0.10897,                 2.1108,                 2.7958,                 1.4825,              0.0049978,              0.0049978,              0.0049978
                      6,                  1.712,                 2.2172,                  1.115,                0.41139,                0.18774,                 0.2075,                0.09774,                 2.1431,                 2.7753,                 1.4645,              0.0049966,              0.0049966,              0.0049966
                      7,                 1.7093,                 2.1797,                 1.1071,                0.36654,                0.21225,                0.21409,                0.09753,                 2.2087,                 2.9878,                 1.5263,              0.0049951,              0.0049951,              0.0049951
                      8,                 1.6892,                 2.0633,                 1.1002,                0.30722,                0.21169,                0.19817,                0.09073,                  2.136,                 2.9078,                 1.4329,              0.0049934,              0.0049934,              0.0049934
                      9,                 1.6359,                 2.0752,                 1.0837,                0.47484,                0.17915,                0.21051,                0.09355,                  2.205,                 2.9703,                 1.4428,              0.0049913,              0.0049913,              0.0049913
                     10,                 1.6407,                 1.9767,                 1.0765,                0.46624,                0.19112,                0.22611,                0.10865,                 2.1377,                 2.8287,                 1.4549,               0.004989,               0.004989,               0.004989
                     11,                 1.6486,                 1.9165,                 1.0673,                0.46478,                0.18321,                0.21618,                 0.1037,                 2.1375,                 2.9763,                 1.4267,              0.0049864,              0.0049864,              0.0049864
                     12,                 1.6319,                 1.9557,                 1.0665,                0.37329,                0.20093,                0.20964,                0.09675,                 2.1843,                 3.0611,                 1.5388,              0.0049836,              0.0049836,              0.0049836
                     13,                 1.6144,                 1.9138,                 1.0584,                0.41753,                0.18989,                0.22981,                0.10865,                 2.1798,                 3.2142,                 1.4914,              0.0049805,              0.0049805,              0.0049805
                     14,                 1.5901,                 1.8357,                 1.0517,                0.32064,                0.21169,                0.20652,                 0.0855,                 2.2141,                 2.8366,                 1.4423,              0.0049771,              0.0049771,              0.0049771
                     15,                 1.5549,                  1.805,                 1.0431,                 0.4754,                0.17699,                0.20475,                0.09287,                 2.1721,                 2.9257,                 1.4447,              0.0049734,              0.0049734,              0.0049734
                     16,                 1.5408,                 1.8148,                 1.0411,                0.52945,                0.18128,                0.21144,                0.09542,                 2.2312,                 3.3348,                 1.5667,              0.0049695,              0.0049695,              0.0049695
                     17,                 1.5278,                 1.7585,                 1.0354,                0.33919,                0.22108,                0.22879,                0.10944,                 2.1224,                 2.8331,                 1.4384,              0.0049653,              0.0049653,              0.0049653
                     18,                 1.5307,                 1.7586,                 1.0304,                0.32037,                0.21077,                0.20093,                0.08036,                 2.2698,                   2.98,                 1.4477,              0.0049609,              0.0049609,              0.0049609
                     19,                 1.5101,                 1.7099,                 1.0233,                0.31417,                0.23724,                0.23224,                0.10789,                 2.1967,                 2.9808,                 1.4914,              0.0049562,              0.0049562,              0.0049562
                     20,                 1.4703,                 1.6774,                 1.0148,                 0.3509,                0.21689,                0.23115,                0.10937,                 2.1766,                 2.9958,                 1.4469,              0.0049512,              0.0049512,              0.0049512
                     21,                 1.5163,                 1.6291,                  1.012,                0.35002,                0.20901,                0.21725,                0.10325,                 2.2293,                 2.9979,                 1.4499,              0.0049459,              0.0049459,              0.0049459
                     22,                 1.4644,                 1.5952,                  1.006,                 0.3762,                0.21522,                0.23074,                0.11249,                 2.2512,                  3.119,                 1.5811,              0.0049404,              0.0049404,              0.0049404
                     23,                 1.4762,                  1.618,                 1.0115,                0.32558,                0.22136,                0.23014,                0.10654,                 2.2037,                 3.0026,                   1.44,              0.0049346,              0.0049346,              0.0049346
                     24,                 1.4542,                 1.5719,                 1.0017,                0.41454,                0.19396,                0.21025,                0.09062,                 2.2561,                 2.9792,                 1.4723,              0.0049286,              0.0049286,              0.0049286
                     25,                 1.4425,                 1.5461,                0.99722,                0.35631,                 0.2152,                0.22545,                 0.1032,                 2.2071,                 3.1597,                 1.5133,              0.0049222,              0.0049222,              0.0049222
                     26,                 1.4148,                 1.5257,                0.99378,                0.36146,                0.22124,                0.23092,                0.10489,                 2.2579,                 3.2038,                 1.5456,              0.0049157,              0.0049157,              0.0049157
                     27,                 1.4106,                 1.5294,                0.99009,                0.34885,                0.22178,                0.23627,                0.11085,                 2.2355,                 3.2586,                 1.5346,              0.0049088,              0.0049088,              0.0049088
                     28,                 1.4073,                 1.4754,                0.98271,                0.39772,                 0.2054,                 0.2316,                0.10826,                 2.2015,                 3.1356,                 1.4828,              0.0049017,              0.0049017,              0.0049017
                     29,                 1.4387,                 1.4908,                 0.9861,                0.49638,                0.18768,                0.22965,                0.10446,                 2.2229,                 3.1365,                 1.4568,              0.0048944,              0.0048944,              0.0048944
                     30,                 1.3938,                 1.4935,                0.97911,                0.37768,                0.21161,                 0.2288,                0.10525,                 2.1537,                  3.161,                 1.4192,              0.0048867,              0.0048867,              0.0048867
                     31,                  1.381,                 1.4573,                0.97458,                0.42717,                0.19139,                0.21815,                0.09394,                  2.248,                 3.2387,                 1.4849,              0.0048789,              0.0048789,              0.0048789
                     32,                 1.3774,                 1.4337,                0.97321,                0.38279,                0.22101,                0.24232,                 0.1204,                 2.1422,                 3.2122,                 1.4325,              0.0048707,              0.0048707,              0.0048707
                     33,                 1.3722,                 1.4014,                0.96946,                0.35208,                0.19818,                0.21492,                0.09665,                 2.2599,                 3.2432,                 1.4516,              0.0048623,              0.0048623,              0.0048623
                     34,                 1.3548,                  1.389,                0.96754,                0.38258,                0.20985,                0.23453,                0.11182,                 2.2312,                 3.2293,                 1.4529,              0.0048537,              0.0048537,              0.0048537
                     35,                 1.3283,                 1.4195,                0.96616,                0.37332,                0.21941,                0.24777,                0.12364,                 2.1601,                 3.2723,                 1.4326,              0.0048448,              0.0048448,              0.0048448
                     36,                 1.3175,                  1.376,                0.96111,                0.43657,                0.19207,                0.23219,                0.10607,                 2.2759,                 3.2387,                 1.4637,              0.0048356,              0.0048356,              0.0048356
                     37,                 1.3182,                 1.3597,                0.95895,                0.34683,                0.20293,                   0.22,                 0.0969,                 2.2644,                 3.1844,                 1.4967,              0.0048262,              0.0048262,              0.0048262
                     38,                 1.3055,                 1.3472,                 0.9544,                0.37304,                0.19525,                 0.2195,                 0.0934,                 2.2707,                 3.2317,                 1.4878,              0.0048165,              0.0048165,              0.0048165
                     39,                 1.2811,                 1.3277,                0.94833,                0.37729,                0.19842,                0.22519,                0.10286,                 2.1883,                 3.3041,                 1.4394,              0.0048066,              0.0048066,              0.0048066
                     40,                 1.3419,                 1.3615,                0.95615,                0.33747,                0.19915,                0.22255,                0.09803,                 2.3337,                 3.3819,                 1.5649,              0.0047964,              0.0047964,              0.0047964
                     41,                 1.2816,                 1.3452,                0.95143,                0.36109,                0.20251,                0.22102,                0.09978,                 2.3172,                 3.3733,                 1.4696,               0.004786,               0.004786,               0.004786
                     42,                 1.2944,                 1.3213,                0.94898,                0.41906,                0.20751,                0.23189,                0.10623,                 2.2459,                 3.5278,                 1.5699,              0.0047754,              0.0047754,              0.0047754
