                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4687,                 1.2352,                0.79615,                0.77611,                 0.4374,                0.50376,                0.25315,                 1.5344,                  1.632,                0.97599,                 0.0001,                 0.0001,                 0.0001
                      1,                 1.5143,                 1.4268,                0.81776,                0.76583,                0.42834,                0.50015,                 0.2485,                 1.5816,                   1.69,                0.98582,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.5196,                 1.0959,                0.81348,                0.79088,                0.42888,                0.50053,                0.24339,                  1.555,                 1.6065,                0.97885,             9.9999e-05,             9.9999e-05,             9.9999e-05
                      3,                 1.4264,                 1.1116,                0.79049,                0.78577,                0.43383,                 0.4978,                0.23734,                 1.5321,                 1.5967,                0.97331,             9.9998e-05,             9.9998e-05,             9.9998e-05
                      4,                 1.5295,                 1.1899,                0.86034,                0.77281,                0.43847,                0.49613,                0.23444,                 1.5414,                 1.5775,                0.96846,             9.9995e-05,             9.9995e-05,             9.9995e-05
                      5,                 1.4478,                 1.0316,                0.82387,                0.78557,                0.43633,                0.49822,                0.23632,                 1.5673,                 1.5641,                0.97624,             9.9991e-05,             9.9991e-05,             9.9991e-05
                      6,                 1.4146,                   1.15,                0.82437,                0.76948,                0.44006,                0.50285,                0.24112,                 1.5775,                 1.5401,                0.97537,             9.9986e-05,             9.9986e-05,             9.9986e-05
                      7,                 1.4914,                 1.2129,                0.83356,                0.75985,                0.44219,                0.50121,                0.23959,                 1.5666,                 1.5415,                0.96989,              9.998e-05,              9.998e-05,              9.998e-05
                      8,                 1.3501,                 1.0619,                0.73336,                0.78374,                0.43314,                 0.4949,                0.23632,                 1.5904,                 1.5871,                 0.9774,             9.9973e-05,             9.9973e-05,             9.9973e-05
                      9,                 1.3253,                 1.0063,                0.75462,                0.78297,                0.42994,                0.49322,                0.23795,                 1.6235,                 1.6559,                0.99043,             9.9965e-05,             9.9965e-05,             9.9965e-05
                     10,                 1.4267,                 1.1281,                0.77191,                0.78193,                0.43101,                0.49354,                 0.2366,                 1.6025,                 1.6208,                0.98533,             9.9956e-05,             9.9956e-05,             9.9956e-05
                     11,                 1.3761,                 1.0523,                0.79148,                 0.7769,                0.42941,                 0.4948,                0.23957,                 1.6052,                 1.6127,                0.98378,             9.9945e-05,             9.9945e-05,             9.9945e-05
                     12,                 1.3708,                 1.1377,                0.78881,                0.75014,                 0.4342,                0.49209,                0.23686,                 1.5925,                 1.5674,                0.98123,             9.9934e-05,             9.9934e-05,             9.9934e-05
                     13,                 1.4151,                 1.1748,                 0.8081,                0.76547,                0.43471,                0.49423,                0.23823,                 1.5945,                   1.56,                0.98131,             9.9921e-05,             9.9921e-05,             9.9921e-05
                     14,                 1.3351,                 1.3423,                0.75454,                 0.7655,                0.43101,                0.49568,                0.23919,                 1.5975,                 1.5492,                0.98167,             9.9907e-05,             9.9907e-05,             9.9907e-05
                     15,                 1.4877,                 1.1183,                0.81394,                0.76412,                0.43367,                0.49565,                0.24161,                 1.6099,                 1.5717,                0.98587,             9.9893e-05,             9.9893e-05,             9.9893e-05
                     16,                 1.2792,                0.96307,                 0.7263,                0.75427,                0.43663,                0.49592,                0.24171,                    1.6,                 1.5873,                0.98704,             9.9877e-05,             9.9877e-05,             9.9877e-05
                     17,                 1.4137,                 1.0742,                0.78828,                0.75238,                0.43474,                0.49342,                0.24417,                 1.6028,                 1.6086,                0.99003,              9.986e-05,              9.986e-05,              9.986e-05
                     18,                 1.3837,                 1.0817,                0.80151,                0.74787,                0.44006,                0.49273,                0.24386,                 1.5888,                 1.6301,                0.98597,             9.9842e-05,             9.9842e-05,             9.9842e-05
                     19,                 1.4631,                 1.0526,                0.81297,                0.74631,                0.44379,                0.49204,                0.23979,                 1.5929,                 1.6612,                0.98486,             9.9822e-05,             9.9822e-05,             9.9822e-05
                     20,                 1.5328,                 1.2665,                0.82624,                0.74525,                0.43328,                0.48696,                0.23661,                 1.6233,                 1.6565,                0.98649,             9.9802e-05,             9.9802e-05,             9.9802e-05
                     21,                 1.3754,                 1.1372,                0.78435,                0.75707,                0.43261,                0.48332,                0.23277,                 1.6125,                 1.6346,                 0.9798,             9.9781e-05,             9.9781e-05,             9.9781e-05
                     22,                 1.3643,                 1.0084,                0.76751,                0.75523,                0.43101,                0.48291,                0.23243,                 1.6043,                 1.6064,                0.97885,             9.9758e-05,             9.9758e-05,             9.9758e-05
                     23,                 1.4799,                  1.125,                0.84496,                 0.7568,                0.43314,                0.48881,                0.23287,                  1.597,                 1.6007,                0.97582,             9.9735e-05,             9.9735e-05,             9.9735e-05
                     24,                 1.4469,                  1.125,                0.82019,                0.75321,                0.43527,                0.48894,                 0.2318,                 1.5959,                 1.6374,                0.97826,              9.971e-05,              9.971e-05,              9.971e-05
                     25,                 1.4285,                 1.0976,                0.80583,                0.76141,                0.43525,                0.48892,                0.23265,                 1.6027,                  1.647,                0.98263,             9.9685e-05,             9.9685e-05,             9.9685e-05
                     26,                 1.4163,                 1.0989,                0.79031,                0.75208,                0.43793,                0.48812,                0.23465,                 1.6255,                 1.6794,                0.98838,             9.9658e-05,             9.9658e-05,             9.9658e-05
                     27,                 1.3872,                 1.0173,                0.78803,                0.75906,                0.43687,                0.48949,                0.23527,                 1.6348,                 1.6811,                0.98765,              9.963e-05,              9.963e-05,              9.963e-05
                     28,                 1.4297,                 1.1049,                0.79539,                0.77316,                0.43953,                0.49885,                 0.2425,                 1.6134,                 1.6253,                0.97927,             9.9601e-05,             9.9601e-05,             9.9601e-05
                     29,                 1.2877,                 1.0259,                0.71078,                0.77446,                0.43847,                0.49287,                0.24189,                 1.6174,                 1.6155,                0.97992,             9.9571e-05,             9.9571e-05,             9.9571e-05
                     30,                 1.4203,                 1.0888,                0.80495,                0.76527,                0.44326,                0.49239,                0.24183,                 1.6188,                 1.6324,                  0.982,              9.954e-05,              9.954e-05,              9.954e-05
                     31,                 1.3981,                 1.1126,                0.79606,                0.77018,                0.43743,                0.49242,                0.24455,                 1.6003,                 1.6047,                0.98108,             9.9508e-05,             9.9508e-05,             9.9508e-05
                     32,                 1.4701,                 1.1347,                0.83936,                0.75817,                0.43474,                0.48703,                0.24069,                 1.5969,                 1.6289,                0.97768,             9.9474e-05,             9.9474e-05,             9.9474e-05
                     33,                  1.354,                  1.154,                0.77566,                 0.7571,                0.43953,                0.48778,                 0.2386,                 1.6113,                 1.6735,                0.98183,              9.944e-05,              9.944e-05,              9.944e-05
                     34,                 1.3248,                0.98754,                0.74398,                0.75548,                0.43527,                0.48763,                 0.2386,                 1.6191,                 1.6471,                0.98371,             9.9404e-05,             9.9404e-05,             9.9404e-05
                     35,                 1.4044,                 1.0565,                0.76441,                0.76326,                0.43101,                0.49093,                0.24054,                 1.6325,                 1.6722,                0.98605,             9.9368e-05,             9.9368e-05,             9.9368e-05
                     36,                 1.4497,                 1.0508,                0.82335,                0.78743,                0.42621,                 0.4957,                0.24151,                 1.6276,                 1.6585,                0.98953,              9.933e-05,              9.933e-05,              9.933e-05
                     37,                 1.4286,                 1.0296,                0.80771,                0.77262,                0.42903,                0.49375,                0.23772,                 1.6146,                 1.6699,                0.98615,             9.9291e-05,             9.9291e-05,             9.9291e-05
                     38,                 1.3961,                  1.179,                0.77824,                0.78113,                0.42782,                0.49148,                0.24156,                  1.601,                 1.6663,                0.98486,             9.9252e-05,             9.9252e-05,             9.9252e-05
                     39,                 1.3515,                 1.0341,                0.76724,                0.77541,                0.42834,                0.48916,                0.24312,                 1.6337,                 1.6891,                0.99093,             9.9211e-05,             9.9211e-05,             9.9211e-05
                     40,                 1.3869,                 1.0897,                 0.7771,                0.76715,                0.43004,                 0.4864,                0.24418,                 1.6623,                 1.6903,                0.99838,             9.9169e-05,             9.9169e-05,             9.9169e-05
                     41,                 1.4457,                 1.0303,                0.80038,                   0.77,                0.43687,                0.49057,                0.24578,                 1.6308,                 1.6503,                0.98714,             9.9126e-05,             9.9126e-05,             9.9126e-05
                     42,                 1.4257,                 1.0636,                0.77397,                0.75986,                0.43847,                0.48885,                0.24483,                 1.6062,                 1.6609,                0.97472,             9.9082e-05,             9.9082e-05,             9.9082e-05
                     43,                 1.4471,                 1.1151,                0.82256,                 0.7461,                0.44273,                0.48866,                 0.2447,                 1.6009,                 1.6543,                0.97357,             9.9037e-05,             9.9037e-05,             9.9037e-05
                     44,                 1.4511,                 1.1238,                 0.8061,                 0.7575,                 0.4374,                0.49084,                0.24213,                 1.6131,                 1.6032,                0.97984,              9.899e-05,              9.899e-05,              9.899e-05
                     45,                 1.3871,                 1.0262,                0.79933,                0.76287,                0.43535,                0.48816,                0.23525,                 1.6386,                 1.6121,                 0.9883,             9.8943e-05,             9.8943e-05,             9.8943e-05
                     46,                 1.4046,                 1.0276,                0.84063,                0.75616,                0.44113,                0.49373,                0.23663,                 1.6233,                 1.6493,                0.98638,             9.8895e-05,             9.8895e-05,             9.8895e-05
                     47,                 1.3885,                 1.0849,                0.79353,                0.73618,                0.44486,                0.49634,                0.24461,                 1.6171,                 1.6249,                0.98468,             9.8845e-05,             9.8845e-05,             9.8845e-05
                     48,                 1.3747,                 1.5277,                0.77583,                0.76922,                0.42974,                0.49709,                0.24256,                 1.6126,                 1.6229,                0.98213,             9.8795e-05,             9.8795e-05,             9.8795e-05
                     49,                 1.4485,                 1.0942,                0.81182,                0.80777,                0.42355,                0.49219,                0.24077,                 1.6635,                  1.651,                0.99798,             9.8743e-05,             9.8743e-05,             9.8743e-05
