                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1831,                 1.4102,                 1.2144,                0.63863,                0.56069,                0.62383,                0.46272,                 1.0795,                 1.1057,                 1.1223,                 0.0937,                 0.0007,                 0.0007
                      1,                 1.1378,                 1.3211,                 1.2395,                0.63555,                0.56645,                0.64128,                0.47824,                 1.0759,                 1.0704,                 1.1182,               0.086005,               0.001005,               0.001005
                      2,                 1.1789,                 1.3015,                 1.2229,                0.68482,                0.56653,                0.66619,                0.49137,                 1.0629,                  1.036,                  1.114,               0.077782,               0.000782,               0.000782
