                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5944,                 2.6075,                0.84572,                0.75734,                0.40072,                0.47335,                0.22141,                 1.8164,                 3.9017,                  1.038,                  0.001,                  0.001,                  0.001
                      1,                 1.6567,                 3.5062,                0.86307,                0.78532,                0.40863,                 0.4814,                0.22724,                 1.7797,                 4.0223,                  1.057,                  0.001,                  0.001,                  0.001
                      2,                  1.755,                 3.0018,                0.88533,                0.74567,                0.41393,                0.46863,                0.21248,                 1.7774,                 3.7613,                 1.0587,             0.00099998,             0.00099998,             0.00099998
                      3,                 1.6469,                 3.2871,                0.86595,                0.75448,                0.41583,                 0.4738,                0.21389,                 1.7719,                 3.3406,                 1.0642,             0.00099991,             0.00099991,             0.00099991
                      4,                  1.753,                 3.4468,                0.92862,                0.78263,                0.40757,                 0.4637,                0.21377,                 1.8805,                 3.6158,                 1.1227,              0.0009998,              0.0009998,              0.0009998
                      5,                 1.6525,                 2.9721,                0.88387,                0.73932,                0.40796,                0.45848,                 0.2022,                 1.7764,                 3.9601,                 1.0431,             0.00099965,             0.00099965,             0.00099965
                      6,                 1.6323,                 2.7999,                0.89828,                0.80806,                0.39691,                0.50084,                0.22385,                  1.796,                 3.4902,                 1.0328,             0.00099945,             0.00099945,             0.00099945
                      7,                 1.7966,                 3.4356,                0.91918,                0.76228,                0.41236,                0.49627,                0.22514,                 1.7372,                 3.1604,                 1.0197,             0.00099921,             0.00099921,             0.00099921
                      8,                 1.5394,                 4.4508,                0.78606,                0.78783,                0.38572,                0.45811,                0.18444,                 1.8851,                 3.3592,                 1.0524,             0.00099893,             0.00099893,             0.00099893
                      9,                 1.5785,                 3.0718,                0.82228,                0.78621,                0.33894,                0.39953,                0.16981,                 2.0737,                 4.8336,                 1.0666,              0.0009986,              0.0009986,              0.0009986
                     10,                  1.602,                 3.1575,                 0.8155,                0.79153,                0.40052,                0.45212,                0.19214,                 1.8452,                 3.2381,                  1.037,             0.00099822,             0.00099822,             0.00099822
                     11,                 1.5987,                 2.9676,                0.84615,                 0.8025,                0.38679,                0.42412,                0.18732,                 1.9011,                 3.5682,                   1.08,             0.00099781,             0.00099781,             0.00099781
                     12,                 1.6301,                 2.8344,                0.85317,                0.79388,                0.40011,                0.46445,                0.21251,                 1.7767,                 3.6624,                 1.0415,             0.00099735,             0.00099735,             0.00099735
                     13,                 1.5757,                  3.008,                0.85048,                0.75921,                0.40117,                0.46868,                0.23526,                 1.7558,                 3.4224,                 1.0222,             0.00099685,             0.00099685,             0.00099685
                     14,                 1.5197,                 3.8368,                0.81384,                0.77614,                0.39529,                0.45805,                0.21521,                 1.7975,                 3.6895,                 1.0264,              0.0009963,              0.0009963,              0.0009963
                     15,                 1.6876,                 3.0694,                0.86769,                0.79705,                 0.4017,                0.47376,                0.22423,                 1.7767,                 3.1612,                 1.0113,             0.00099571,             0.00099571,             0.00099571
                     16,                  1.499,                 2.7921,                0.79457,                0.76257,                0.38199,                0.46221,                0.21815,                 1.8573,                 4.1997,                 1.0376,             0.00099508,             0.00099508,             0.00099508
                     17,                 1.7071,                 3.5903,                0.87701,                0.78167,                0.38306,                0.45809,                 0.2154,                 1.7886,                 3.6483,                 1.0398,              0.0009944,              0.0009944,              0.0009944
                     18,                 1.6136,                 4.4657,                0.85867,                0.73768,                 0.3788,                0.46005,                0.21509,                 1.7354,                 3.5057,                 1.0153,             0.00099368,             0.00099368,             0.00099368
                     19,                 1.7054,                 3.1375,                  0.878,                0.73605,                0.39965,                0.46719,                0.21104,                 1.7327,                  3.843,                0.99853,             0.00099291,             0.00099291,             0.00099291
                     20,                  1.833,                 3.2586,                0.90008,                0.77024,                0.39744,                0.45042,                0.19168,                 1.8013,                 3.4251,                0.98613,             0.00099211,             0.00099211,             0.00099211
                     21,                  1.612,                 2.8465,                0.85289,                0.76545,                0.39744,                0.44403,                0.20456,                 1.7603,                  3.607,                  1.009,             0.00099126,             0.00099126,             0.00099126
                     22,                 1.5432,                 2.6446,                  0.819,                0.76274,                0.39392,                0.44847,                0.18602,                 1.7765,                  3.502,                  1.013,             0.00099037,             0.00099037,             0.00099037
                     23,                 1.6833,                 2.9191,                0.91175,                0.77536,                0.38732,                0.45452,                0.18278,                 1.7754,                 3.5089,                 1.0038,             0.00098943,             0.00098943,             0.00098943
                     24,                 1.6212,                 3.3197,                 0.8705,                0.77218,                0.38679,                0.41728,                 0.1819,                  1.724,                 3.8763,                 1.0061,             0.00098845,             0.00098845,             0.00098845
                     25,                 1.6709,                 3.0791,                0.87364,                 0.7858,                0.40543,                0.43412,                0.19779,                 1.6907,                 3.5993,                0.98959,             0.00098743,             0.00098743,             0.00098743
                     26,                 1.6023,                 3.5129,                0.84273,                0.77466,                0.40224,                0.45522,                0.19871,                 1.7308,                 3.2691,                0.97936,             0.00098637,             0.00098637,             0.00098637
                     27,                  1.616,                  2.814,                0.84252,                0.80232,                0.38704,                0.46758,                 0.2134,                 1.7247,                 3.5814,                0.97805,             0.00098527,             0.00098527,             0.00098527
