                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.5824,                 11.389,                  3.669,                0.00404,                0.13154,                0.00953,                0.00167,                 3.6959,                 4.2559,                 2.3747,               0.070194,              0.0033118,              0.0033118
                      1,                 3.8322,                 4.9194,                 2.5447,                0.53739,                0.02099,                0.00816,                0.00218,                 4.1942,                 4.9172,                 2.3322,               0.040062,              0.0065136,              0.0065136
                      2,                 3.8404,                 4.4554,                 2.4528,                0.51106,                0.03244,                0.00354,                0.00078,                 4.1178,                 4.2831,                 2.1424,              0.0097984,              0.0095833,              0.0095833
                      3,                 3.9537,                 4.4675,                 2.3447,                 0.5201,                0.03435,                0.00547,                0.00106,                 4.0464,                 4.3335,                 2.2793,               0.009406,               0.009406,               0.009406
                      4,                 3.8172,                 4.3764,                 2.2816,                0.05102,                0.02863,                0.01458,                0.00375,                 3.9953,                 4.0561,                 2.1605,               0.009406,               0.009406,               0.009406
                      5,                 3.7047,                 4.2551,                 2.1704,                0.57913,                0.04008,                0.02335,                0.00412,                 3.8138,                 3.9979,                 2.1117,               0.009208,               0.009208,               0.009208
                      6,                 3.6044,                 4.2933,                 2.1373,                0.53478,                0.04389,                 0.0142,                0.00323,                 4.0534,                 3.9377,                 2.0608,                0.00901,                0.00901,                0.00901
                      7,                 3.5912,                 4.1779,                 2.0917,                0.54261,                0.03626,                 0.0126,                0.00295,                 3.9198,                 3.8357,                 2.0512,               0.008812,               0.008812,               0.008812
                      8,                 3.5665,                  4.307,                 2.0056,                0.00753,                0.17988,                0.01029,                0.00256,                 3.8087,                 4.0388,                 1.9427,               0.008614,               0.008614,               0.008614
                      9,                 3.5982,                 4.1141,                 2.0482,                0.55872,                 0.0687,                0.01794,                 0.0041,                 3.7714,                 3.8819,                  1.947,               0.008416,               0.008416,               0.008416
                     10,                 3.5863,                 4.0437,                 2.1326,                0.58694,                 0.0687,                0.03941,                0.00775,                 3.7619,                 3.6439,                 2.0257,               0.008218,               0.008218,               0.008218
                     11,                 3.5677,                 3.9085,                 2.0831,                0.59861,                0.04389,                0.04657,                0.00936,                 3.7919,                 3.7815,                 1.8605,                0.00802,                0.00802,                0.00802
                     12,                 3.4913,                 3.9333,                 2.0012,                 0.5434,                0.05725,                0.01457,                  0.003,                  3.823,                 3.7513,                 1.9145,               0.007822,               0.007822,               0.007822
                     13,                 3.4531,                 3.8353,                 1.9325,                0.54098,                0.08588,                0.01989,                0.00484,                 3.6883,                 3.6908,                 1.8798,               0.007624,               0.007624,               0.007624
                     14,                 3.4486,                 3.8531,                 1.9708,                0.54539,                0.06298,                0.02574,                0.00507,                 3.7776,                  3.819,                 1.8761,               0.007426,               0.007426,               0.007426
                     15,                 3.3655,                    3.9,                 1.9502,                0.54327,                0.05534,                0.01876,                0.00456,                 3.6925,                 3.6694,                 1.9059,               0.007228,               0.007228,               0.007228
                     16,                 3.4197,                  4.007,                  1.943,                0.09346,                 0.0687,                0.04873,                0.01027,                 3.6861,                 3.8041,                 1.8747,                0.00703,                0.00703,                0.00703
                     17,                 3.3777,                  3.699,                 1.9377,                0.58153,                0.05534,                0.04062,                0.00991,                 3.6779,                 3.7436,                 1.8952,               0.006832,               0.006832,               0.006832
                     18,                 3.3546,                 3.6755,                 1.9763,                0.61957,                0.08779,                0.07418,                0.01465,                 3.6456,                 3.6847,                 1.8363,               0.006634,               0.006634,               0.006634
                     19,                 3.4432,                  3.886,                 1.9151,                0.05404,                0.07252,                0.02982,                0.00616,                 3.7171,                   3.57,                  1.816,               0.006436,               0.006436,               0.006436
                     20,                 3.3675,                 3.5934,                 1.8752,                0.60802,                0.11832,                0.07641,                0.01952,                 3.6148,                 3.5631,                  1.891,               0.006238,               0.006238,               0.006238
                     21,                 3.3766,                 3.9464,                 1.8776,                0.61617,                0.09733,                0.06986,                0.01763,                 3.6351,                 3.6536,                 1.8781,                0.00604,                0.00604,                0.00604
                     22,                 3.3814,                 3.5573,                 1.9477,                0.60554,                0.09542,                0.05135,                0.00948,                  3.667,                 3.6415,                 1.8875,               0.005842,               0.005842,               0.005842
                     23,                 3.2819,                 3.5391,                 1.8974,                0.58483,                0.09924,                0.04775,                0.01103,                  3.578,                  3.594,                 1.8372,               0.005644,               0.005644,               0.005644
                     24,                 3.3019,                  3.709,                 1.8958,                0.61154,                0.05916,                0.06589,                0.01648,                 3.6087,                 3.7103,                 1.8045,               0.005446,               0.005446,               0.005446
                     25,                 3.3161,                 3.4308,                 1.8284,                0.63888,                0.14885,                0.09166,                0.02192,                 3.5553,                 3.5988,                 1.7723,               0.005248,               0.005248,               0.005248
                     26,                 3.2862,                 3.5315,                 1.9134,                 0.6269,                0.15649,                0.10427,                0.02326,                 3.5306,                 3.6189,                 1.8672,                0.00505,                0.00505,                0.00505
                     27,                 3.1552,                 3.2882,                 1.8016,                 0.6899,                0.17557,                0.16821,                0.03869,                 3.5157,                 3.5301,                 1.8076,               0.004852,               0.004852,               0.004852
                     28,                 3.2755,                 3.4442,                 1.8345,                0.71125,                0.20802,                0.18184,                0.04076,                 3.4991,                 3.5529,                 1.8463,               0.004654,               0.004654,               0.004654
                     29,                 3.1817,                 3.3871,                 1.8476,                0.67126,                0.16031,                  0.138,                0.03323,                 3.4402,                 3.4431,                 1.7765,               0.004456,               0.004456,               0.004456
                     30,                 3.1285,                 3.3647,                 1.7991,                0.64831,                0.14885,                0.10656,                0.02795,                  3.429,                 3.3969,                 1.8201,               0.004258,               0.004258,               0.004258
                     31,                 3.0874,                 3.4343,                 1.7651,                0.69345,                0.15649,                0.14968,                0.03439,                 3.4421,                 3.3875,                 1.8506,                0.00406,                0.00406,                0.00406
                     32,                 3.1711,                 3.3459,                 1.8407,                0.12212,                0.14885,                0.08954,                0.02236,                 3.4241,                 3.4918,                 1.8024,               0.003862,               0.003862,               0.003862
                     33,                 3.0774,                 3.3148,                 1.7654,                0.10942,                0.13359,                0.07432,                0.01996,                 3.4225,                 3.4894,                 1.8039,               0.003664,               0.003664,               0.003664
                     34,                  3.194,                 3.4784,                 1.7897,                0.10283,                0.11641,                0.08161,                0.01993,                 3.4264,                 3.5342,                 1.7808,               0.003466,               0.003466,               0.003466
                     35,                 3.1803,                 3.3763,                 1.8175,                0.67362,                0.14111,                0.13258,                0.03276,                 3.3745,                 3.5001,                 1.8432,               0.003268,               0.003268,               0.003268
                     36,                 2.9782,                 3.2997,                 1.7283,                0.75028,                0.19084,                0.17216,                0.04326,                 3.4553,                 3.4457,                 1.8272,                0.00307,                0.00307,                0.00307
                     37,                 3.1045,                 3.2859,                 1.7576,                0.79373,                0.19567,                0.20444,                0.04977,                 3.4204,                 3.6313,                 1.7909,               0.002872,               0.002872,               0.002872
                     38,                 3.0107,                 3.3286,                 1.7418,                 0.1082,                0.19275,                0.09734,                0.02413,                 3.4572,                 3.4868,                 1.8325,               0.002674,               0.002674,               0.002674
                     39,                 3.0886,                 3.3094,                 1.7702,                0.12994,                0.21947,                0.11678,                0.03218,                 3.4281,                  3.456,                  1.803,               0.002476,               0.002476,               0.002476
                     40,                 3.0583,                  3.325,                 1.7309,                0.12023,                 0.2042,                0.10868,                0.02803,                 3.4615,                 3.4627,                 1.7889,               0.002278,               0.002278,               0.002278
                     41,                 3.0457,                 3.2107,                 1.7654,                0.15053,                0.20802,                0.13437,                0.03747,                 3.4009,                 3.4968,                  1.777,                0.00208,                0.00208,                0.00208
                     42,                 3.0381,                 3.2306,                 1.7249,                0.11327,                0.19656,                  0.111,                0.03089,                 3.4289,                 3.4322,                 1.8047,               0.001882,               0.001882,               0.001882
                     43,                  3.085,                 3.2403,                 1.7503,                0.15215,                0.18511,                 0.1239,                0.03465,                 3.4108,                 3.5074,                 1.7853,               0.001684,               0.001684,               0.001684
                     44,                 2.9739,                 3.1931,                  1.765,                0.16103,                0.18893,                0.13611,                0.03722,                 3.3915,                 3.4094,                 1.7957,               0.001486,               0.001486,               0.001486
                     45,                 3.1233,                 3.2891,                 1.7979,                0.15402,                0.19115,                0.12652,                0.03599,                 3.4247,                 3.3919,                 1.8092,               0.001288,               0.001288,               0.001288
                     46,                 2.9521,                 3.2386,                 1.7317,                0.13805,                0.17748,                0.11862,                0.03651,                 3.3961,                 3.4674,                 1.8224,                0.00109,                0.00109,                0.00109
                     47,                 2.9613,                 3.1423,                 1.7167,                0.15901,                0.21947,                0.13875,                0.04101,                 3.3577,                 3.3965,                 1.8264,               0.000892,               0.000892,               0.000892
                     48,                 2.9258,                 3.2595,                 1.6744,                0.66816,                0.21947,                 0.1485,                0.04358,                 3.3488,                 3.3257,                 1.8124,               0.000694,               0.000694,               0.000694
