                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.90922,                0.88694,                0.83669,                 0.3742,                0.20459,                0.24532,                0.11567,                 2.3269,                 4.0544,                  1.472,              0.0049466,              0.0049466,              0.0049466
                     35,                0.89971,                0.89136,                0.83954,                0.39788,                0.19948,                0.23718,                0.11134,                 2.3664,                 3.9697,                 1.4809,              0.0049433,              0.0049433,              0.0049433
                     36,                0.89649,                0.89095,                0.83693,                0.38796,                0.19576,                0.23956,                0.11824,                 2.4555,                 3.9845,                 1.5358,              0.0049399,              0.0049399,              0.0049399
                     37,                0.88851,                0.88217,                0.83615,                 0.3782,                0.21141,                0.24141,                0.11641,                 2.3598,                 3.9026,                 1.4628,              0.0049365,              0.0049365,              0.0049365
                     38,                0.89476,                 0.8797,                0.83456,                0.34781,                0.19488,                0.21957,                0.09963,                 2.3866,                 3.9943,                 1.4735,              0.0049329,              0.0049329,              0.0049329
                     39,                0.87376,                0.87032,                0.83247,                0.41109,                0.18587,                0.23708,                0.11164,                  2.353,                 4.0931,                 1.4892,              0.0049293,              0.0049293,              0.0049293
                     40,                0.95713,                0.91045,                0.83891,                0.36319,                 0.1964,                0.24409,                0.11721,                 2.4092,                 4.1254,                 1.4921,              0.0049255,              0.0049255,              0.0049255
                     41,                0.89331,                0.88503,                0.83766,                0.50389,                0.20031,                0.24158,                0.11736,                 2.3472,                   3.96,                 1.4985,              0.0049217,              0.0049217,              0.0049217
                     42,                0.88325,                0.88599,                0.83672,                0.43344,                0.20367,                0.23913,                0.11388,                 2.3772,                  4.031,                 1.4701,              0.0049177,              0.0049177,              0.0049177
                     43,                  0.881,                0.87049,                0.83433,                0.41302,                0.20119,                0.22819,                0.10657,                 2.3983,                 3.9702,                 1.5317,              0.0049137,              0.0049137,              0.0049137
                     44,                0.85919,                0.86383,                0.83163,                0.42343,                0.19443,                0.22643,                0.10803,                 2.4182,                 3.9681,                 1.5099,              0.0049095,              0.0049095,              0.0049095
                     45,                0.85988,                0.86096,                0.83028,                0.38993,                0.19461,                0.22871,                 0.1092,                 2.3932,                  3.877,                 1.5175,              0.0049053,              0.0049053,              0.0049053
                     46,                0.87329,                0.87393,                0.83457,                0.38885,                0.20556,                0.24273,                0.11682,                 2.3732,                 3.9863,                 1.4755,               0.004901,               0.004901,               0.004901
                     47,                0.85205,                0.88026,                 0.8309,                0.36921,                0.19191,                0.23045,                0.10875,                 2.4018,                 4.1681,                 1.4753,              0.0048966,              0.0048966,              0.0048966
                     48,                0.88114,                0.88698,                 0.8315,                0.39185,                0.21541,                0.24039,                0.11607,                 2.3614,                 3.8196,                 1.4984,              0.0048921,              0.0048921,              0.0048921
                     49,                0.86605,                0.86513,                 0.8311,                0.41298,                0.19553,                0.24301,                0.11851,                 2.4312,                 4.0161,                 1.5122,              0.0048874,              0.0048874,              0.0048874
                     50,                0.85931,                0.84797,                0.82497,                0.40169,                0.19543,                0.23775,                0.11054,                 2.4125,                 4.0481,                 1.5067,              0.0048827,              0.0048827,              0.0048827
                     51,                  0.842,                0.84724,                0.82639,                0.41615,                0.19322,                0.24068,                0.11208,                  2.436,                 4.1571,                 1.5027,              0.0048779,              0.0048779,              0.0048779
                     52,                0.83706,                0.84803,                0.82802,                0.39186,                0.19352,                0.23592,                0.11155,                 2.4514,                 4.0853,                 1.4979,              0.0048731,              0.0048731,              0.0048731
                     53,                0.85252,                0.84353,                0.82573,                0.43984,                0.21029,                 0.2445,                0.12103,                 2.3397,                  3.955,                 1.5083,              0.0048681,              0.0048681,              0.0048681
                     54,                0.85465,                0.84015,                0.82471,                0.42308,                0.20151,                0.24637,                0.11829,                 2.4553,                 3.7241,                 1.5021,               0.004863,               0.004863,               0.004863
                     55,                0.82726,                0.83429,                0.82398,                0.41718,                 0.2047,                0.23958,                0.11618,                 2.3506,                 4.0407,                 1.4982,              0.0048578,              0.0048578,              0.0048578
                     56,                0.85293,                0.82875,                0.82119,                0.44234,                0.18865,                0.24813,                0.12255,                  2.477,                 3.7827,                 1.5246,              0.0048526,              0.0048526,              0.0048526
                     57,                0.80794,                0.81917,                0.81839,                0.40275,                0.20984,                0.24313,                0.11942,                 2.3597,                 3.9655,                 1.4882,              0.0048472,              0.0048472,              0.0048472
                     58,                0.82282,                0.82645,                0.82086,                0.40189,                0.20583,                0.24071,                0.11616,                 2.3848,                 4.0572,                 1.4888,              0.0048418,              0.0048418,              0.0048418
                     59,                0.83271,                0.83291,                0.82073,                0.38628,                  0.195,                0.23672,                 0.1154,                 2.3982,                 4.0264,                 1.4931,              0.0048362,              0.0048362,              0.0048362
