                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3657,                 3.8744,                 2.3347,                0.30834,                0.15037,                0.16789,                0.06114,                  2.952,                  3.375,                   2.16,               0.070097,              0.0033225,              0.0033225
                      1,                 2.9599,                 3.3727,                 1.9088,                 0.7764,                0.16126,                0.16093,                0.06379,                 2.8282,                 3.2655,                 2.0012,               0.040031,                0.00659,                0.00659
                      2,                 2.8364,                 3.6093,                 1.8123,                0.86772,                0.16913,                0.19456,                0.06827,                 2.8746,                 3.2962,                 1.9464,              0.0098993,              0.0097914,              0.0097914
                      3,                 2.7251,                 4.2729,                 1.7288,                0.78521,                0.14957,                0.14825,                0.04473,                 2.8504,                 3.6577,                 1.9499,               0.009703,               0.009703,               0.009703
                      4,                 2.7668,                  3.657,                  1.767,                0.83587,                0.19129,                0.20668,                0.08793,                 2.7311,                 3.2243,                 1.8517,               0.009703,               0.009703,               0.009703
                      5,                  2.725,                 3.4053,                 1.7211,                0.78686,                0.15701,                0.16139,                0.06678,                 2.7198,                 3.2494,                 1.8687,               0.009604,               0.009604,               0.009604
                      6,                 2.5943,                 3.1655,                 1.6436,                0.78405,                0.15436,                0.15457,                0.06559,                 2.7216,                 3.3458,                 1.8278,               0.009505,               0.009505,               0.009505
                      7,                 2.6848,                 3.4048,                 1.6724,                0.29961,                 0.1525,                0.16639,                0.06883,                 2.7676,                 3.2936,                 1.8517,               0.009406,               0.009406,               0.009406
                      8,                 2.5819,                 3.4198,                 1.6731,                0.79696,                0.16392,                 0.1767,                0.08483,                 2.8321,                 3.1065,                 1.9159,               0.009307,               0.009307,               0.009307
                      9,                 2.4931,                 3.2991,                 1.5429,                0.21659,                0.16339,                0.17285,                0.07615,                 2.7517,                 3.4848,                 1.8536,               0.009208,               0.009208,               0.009208
                     10,                 2.5168,                 3.3347,                 1.5919,                0.79484,                0.15569,                 0.1772,                0.08192,                 2.7878,                 3.1398,                 1.9742,               0.009109,               0.009109,               0.009109
                     11,                 2.5357,                 3.1722,                 1.5655,                0.36002,                0.13535,                0.13074,                 0.0469,                 3.1007,                  3.341,                 1.9812,                0.00901,                0.00901,                0.00901
                     12,                 2.4389,                 3.1496,                 1.5416,                0.77495,                0.16472,                0.17846,                0.07345,                 2.8838,                 3.0657,                 2.0215,               0.008911,               0.008911,               0.008911
